code;type;discipline;class;result;sex
SDM;;100;M;11,00;M
SDM;;200;M;22,30;M
SDM;;400;M;50,00;M
SDM;;800;M;1:55,00;M
SDM;;1K5;M;3:58,00;M
SDM;;5K0;M;15:15,00;M
SDM;;11H;M;15,40;M
SDM;;40H;M;57,00;M
SDM;;4X1;M;43,00;M
SDM;;HOC;M;1,90;M
SDM;;STA;M;4,60;M
SDM;;WEI;M;7,00;M
SDM;;DRE;M;13,20;M
SDM;;KUG;M;14,50;M
SDM;;DIS;M;44,00;M
SDM;;HAM;M;50,00;M
SDM;;SPE;M;58,00;M
SDM;;100;MJU18;11,50;M
SDM;;200;MJU18;23,40;M
SDM;;400;MJU18;53,00;M
SDM;;800;MJU18;2:04,00;M
SDM;;1K5;MJU18;4:25,00;M
SDM;;3K0;MJU18;9:50,00;M
SDM;;11H;MJU18;16,00;M
SDM;;40H;MJU18;61,00;M
SDM;;4X1;MJU18;48,00;M
SDM;;HOC;MJU18;1,75;M
SDM;;STA;MJU18;3,50;M
SDM;;WEI;MJU18;6,50;M
SDM;;DRE;MJU18;12,00;M
SDM;;KUG;MJU18;14,00;M
SDM;;DIS;MJU18;40,00;M
SDM;;HAM;MJU18;37,00;M
SDM;;SPE;MJU18;51,00;M
SDM;;100;W;12,30;W
SDM;;200;W;26,00;W
SDM;;400;W;60,20;W
SDM;;800;W;2:18,00;W
SDM;;1K5;W;4:50,00;W
SDM;;5K0;W;19:15,00;W
SDM;;10H;W;15,50;W
SDM;;40H;W;65,00;W
SDM;;4X1;W;52,00;W
SDM;;HOC;W;1,65;W
SDM;;STA;W;3,20;W
SDM;;WEI;W;5,70;W
SDM;;DRE;W;11,20;W
SDM;;KUG;W;12,50;W
SDM;;DIS;W;37,00;W
SDM;;HAM;W;40,00;W
SDM;;SPE;W;40,00;W
SDM;;100;WJU18;12,70;W
SDM;;200;WJU18;26,40;W
SDM;;400;WJU18;61,00;W
SDM;;800;WJU18;2:25,00;W
SDM;;1K5;WJU18;5:10,00;W
SDM;;3K0;WJU18;12:00,00;W
SDM;;10H;WJU18;16,20;W
SDM;;40H;WJU18;69,00;W
SDM;;4X1;WJU18;53,00;W
SDM;;HOC;WJU18;1,60;W
SDM;;STA;WJU18;3,00;W
SDM;;WEI;WJU18;5,35;W
SDM;;DRE;WJU18;10,30;W
SDM;;KUG;WJU18;12,00;W
SDM;;DIS;WJU18;32,00;W
SDM;;HAM;WJU18;32,00;W
SDM;;SPE;WJU18;38,00;W
