result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
10:54.70,AUS,Brisbane,AUS,2017-02-11,Dane Bird-Smith,1992,Male,3000W,NR,Outdoor
11:08.5,BLR,Banská Bystrica,TCH,1985-08-30,Frants Kostyukevich,1963,Male,3000W,NR,Outdoor
11:14.80,CHN,Yantai,CHN,2006-10-11,Wang Kun,1989,Male,3000W,NR,Outdoor
11:16.3,CZE,Opava,CZE,1999-09-05,Jiří Malysa,1966,Male,3000W,NR,Outdoor
13:41.6,FIJ,Melbourne,AUS,2018-10-20,Pramesh Prasad,1974,Male,3000W,NR,Outdoor
10:43.84,GBR,London,GBR,2018-07-21,Tom Bosworth,1990,Male,3000W,NR,Outdoor
11:46.92,MRI,Athlone,IRL,2018-07-08,Jérome Caprice,1983,Male,3000W,NR,Outdoor
11:06.11,NOR,Lillehammer,NOR,2009-07-31,Erik Tysse,1980,Male,3000W,NR,Outdoor
11:15.20,NZL,Wellington,NZL,2015-01-23,Quentin Rew,1984,Male,3000W,NR,Outdoor
10:56.98,POL,Šamorín,SVK,2018-06-29,Dawid Tomala,1989,Male,3000W,NR,Outdoor
10:47.08,RSA,London,GBR,2018-07-21,Lebogang Shange,1990,Male,3000W,NR,Outdoor
16:49.42,CYP,Birmingham,GBR,2006-02-19,John Constandinou,1972,Male,3000W,NR,Indoor
11:12.1,ITA,Genova,ITA,1980-01-23,Carlo Mattioli,1954,Male,3000W,NR,Indoor
13:31.59,NED,Den Haag,NED,1989-02-03,Edwin Holwerda,1970,Male,3000W,NR,Indoor
11:30.29,TUR,Istanbul,TUR,2020-01-11,Sahin Senoduncu,1994,Male,3000W,NR,Indoor
