Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
WR;;10K;W;28:54.14;;Eugene;USA;Outdoor;2024-05-25;Beatrice;Chebet;KEN;2000;Female
WR;;10G;W;41:56.23;;WA;USA;Outdoor;1990-07-24;Nadezhda;Ryashkina;URS;1967;Female
WR;;100;W;10.49;0.0;IN;USA;Outdoor;1988-07-16;Florence;Griffith-Joyner;USA;1959;Female
WR;;10H;W;12.12;0.9;Eugene;USA;Outdoor;2022-07-24;Tobi;Amusan;NGR;1997;Female
WR;;1K0;W;2:28.98;;Bruxelles;BEL;Outdoor;1996-08-23;Svetlana;Masterkova;RUS;1968;Female
WR;;1K5;W;3:49.04;;Paris;FRA;Outdoor;2024-07-07;Faith;Kipyegon;KEN;1994;Female
WR;;200;W;21.34;1.3;Jamsil, Seoul;KOR;Outdoor;1988-09-29;Florence;Griffith-Joyner;USA;1959;Female
WR;;2K0;W;5:21.56;;Zagreb;CRO;Outdoor;2021-09-14;Francine;Niyonsaba;BDI;1993;Female
WR;;3K0;W;8:06.11;;Beijing;CHN;Outdoor;1993-09-13;Junxia;Wang;CHN;1973;Female
WR;;3KH;W;8:44.32;;Monaco;MON;Outdoor;2018-07-20;Beatrice;Chepkoech;KEN;1991;Female
WR;;400;W;47.60;;Canberra;AUS;Outdoor;1985-10-06;Marita;Koch;GDR;1957;Female
WR;;40H;W;50.65;;Eugene;USA;Outdoor;2024-06-30;Sydney;Mclaughlin;USA;1999;Female
WR;;4×1;W;40.82;;London;GBR;Outdoor;2012-08-10;United;States;USA;;Female
WR;;4×2;W;1:27.46;;PA;USA;Outdoor;2000-04-29;United;States;USA;;Female
WR;;4×4;W;3:15.17;;Jamsil, Seoul;KOR;Outdoor;1988-10-01;United;States;URS;;Female
WR;;4×8;W;7:50.17;;Moskva;URS;Outdoor;1984-08-05;United;States;URS;;Female
WR;;5K0;W;14:00.21;;Eugene;USA;Outdoor;2023-09-17;Gudaf;Tsegay;ETH;1997;Female
WR;;800;W;1:53.28;;München;GER;Outdoor;1983-07-26;Jarmila;Kratochvílová;TCH;1951;Female
WR;;DIS;W;76.80;;Neubrandenburg;GDR;Outdoor;1988-07-09;Gabriele;Reinsch;GDR;1963;Female
WR;;HAM;W;82.98;;Warszawa;POL;Outdoor;2016-08-28;Anita;Włodarczyk;POL;1985;Female
WR;;HOC;W;2.10;;Paris;FRA;Outdoor;2024-07-07;Yaroslava;Mahuchikh;UKR;2001;Female
WR;;SPE;W;72.28;;Stuttgart;GER;Outdoor;2008-09-13;Barbora;Špotáková;CZE;1981;Female
WR;;WEI;W;7.52;1.4;Leningrad;URS;Outdoor;1988-06-11;Galina;Chistyakova;URS;1962;Female
WR;;MEI;W;4:07.64;;Monaco;MON;Outdoor;2023-07-21;Faith;Kipyegon;KEN;1994;Female
WR;;STA;W;5.06;;Zürich;SUI;Outdoor;2009-08-28;Yelena;Isinbayeva;RUS;1982;Female
WR;;KUG;W;22.63;;Moskva;URS;Outdoor;1987-06-07;Natalya;Lisovskaya;URS;1962;Female
WR;;1K0;W;2:30.94;;Stockholm;SWE;Indoor;1999-02-25;Maria;De Lurdes Mutola;MOZ;1972;Female
WR;;1K5;W;3:53.09;;Liévin;FRA;Indoor;2021-02-09;Gudaf;Tsegay;ETH;1997;Female
WR;;200;W;21.87;;Liévin;FRA;Indoor;1993-02-13;Merlene;Ottey;JAM;1960;Female
WR;;3G;W;11:40.33;;Bucureşti;ROU;Indoor;1999-01-30;Claudia;Iovan;ROU;1978;Female
WR;;3K0;W;8:16.60;;Stockholm;SWE;Indoor;2014-02-06;Genzebe;Dibaba;ETH;1991;Female
WR;;4×2;W;1:32.41;;Glasgow;GBR;Indoor;2005-01-29;United;States;RUS;;Female
WR;;4×8;W;8:05.89;;NY;USA;Indoor;2018-02-03;United;States;USA;;Female
WR;;50M;W;5.96;;Madrid;ESP;Indoor;1995-02-09;Irina;Privalova;RUS;1968;Female
WR;;50H;W;6.58;;Berlin;GER;Indoor;1988-02-20;Cornelia;Oschkenat;GDR;1961;Female
WR;;5K0;W;14:18.86;;Stockholm;SWE;Indoor;2015-02-19;Genzebe;Dibaba;ETH;1991;Female
WR;;60M;W;6.92;;Madrid;ESP;Indoor;1993-02-11;Irina;Privalova;RUS;1968;Female
WR;;60M;W;6.92;;Madrid;ESP;Indoor;1995-02-09;Irina;Privalova;RUS;1968;Female
WR;;60H;W;7.65;;Glasgow;GBR;Indoor;2024-03-03;Devynne;Charlton;BAH;1995;Female
WR;;800;W;1:55.82;;Wien;AUT;Indoor;2002-03-03;Jolanda;Čeplak;SLO;1976;Female
WR;;MEI;W;4:13.31;;Stockholm;SWE;Indoor;2016-02-17;Genzebe;Dibaba;ETH;1991;Female
WR;;DRE;W;15.74;;Beograd;SRB;Indoor;2022-03-20;Yulimar;Rojas;VEN;1995;Female
